meal_id,actual_id,recipes,ingredients,methods,image,average_rating
0,5d64e24aa79b5707d353cb53,"thịt xiên nướng,đậu hũ chiên giòn,rau bí xào tỏi",|||,|||,https://cdn.eva.vn//upload/2-2015/images/2015-06-12/1434095666-11420169_470768229758961_1756024660_o.jpg,3.0
1,5d64e24aa79b5707d353cb54,"canh sườn nấu chua,đậu hũ sốt cà,rau muống luộc ăn kèm cà pháo,tép khô xào hành, khế",||||,||||,http://samtuoingoclinh.com/uploads/am-thuc/2015_07/mam-com-gia-dinh.jpg,3.93
2,5d64e24aa79b5707d353cb51,,,,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/com_7.jpg,4.6
3,5d64e24aa79b5707d353cb4f,,,,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-20-1531907294-384-width960height720.jpg,3.7
4,5d64e24ba79b5707d353cb58,"gà xào sả ớt,thịt bò xào cải xanh,canh chua tôm",|||,|||,http://media.sao247.com/news/2016/12/19/15.PNG,3.6
5,5d64e24aa79b5707d353cb50,"thịt vịt/gà quay,canh chua,trứng chiên,dưa chuột trộn",||||,||||,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-1-1531907293-171-width960height720.jpg,2.79
6,5d64e249a79b5707d353cb4d,"cá thu chiên mắm ngọt,mực xào bầu,canh tập tàng nấu tôm",|||,|||,http://media.sao247.com/news/2016/12/19/11.PNG,3.26
7,5d64e24aa79b5707d353cb4e,"thịt gà luộc chấm mắm,rau muống luộc,rau bí xào tỏi",|||,|||,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-2-1531907293-26-width960height960.jpg,3.39
8,5d64e24ba79b5707d353cb56,"mực xào chua ngọt,sườn non ram mặn,canh khổ qua nấu với thịt viên",|||,|||,http://media.sao247.com/news/2016/12/19/1532748513731718427013192637696418446992395n.jpg,3.0
9,5d64e24aa79b5707d353cb52,,,,https://cdn.eva.vn/upload/3-2018/images/2018-07-18/9x-khoe-mam-com-4-nguoi-don-gian-nhung-bat-mat-khien-chong-khuyen-di-thi-vua-dau-bep-19-1531907294-260-width960height720.jpg,3.0
10,5d64e24aa79b5707d353cb55,"đậu hũ chiên trứng,rau củ luộc chấm kho quẹt,canh chua nấu tôm",|||,|||,https://cdn.eva.vn//upload/2-2015/images/2015-05-12/1431421113-image1.jpg,1.79
11,5d64e24ba79b5707d353cb57,,,,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/banh_mi.jpg,3.39
12,5d64e24ba79b5707d353cb59,"canh bí nhồi thịt,cá om dưa cải,khổ qua xào trứng",|||,|||,https://znews-photo.zadn.vn/w960/Uploaded/jaroin/2018_06_15/com_9.jpg,3.53
13,5d30875c4d1d11b137160468,"cá kho tộ,đậu đũa luộc,chả cá sốt cà chua,cà muối",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-6.jpg,3.8
14,5d3087594d1d11b137160464,"thịt ba chỉ luộc,đậu rim mắm,canh rau ngót nấu thịt,lòng gà xào nấm,cà muối",|||||,|||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-2.jpg,3.44
15,5d30875d4d1d11b13716046e,"canh ngao,dưa cải muối chua,sườn xào chua ngọt,thịt xào ngồng tỏi,hoa quả tráng miệng",|||||,|||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-11.jpg,3.55
16,5d30875d4d1d11b13716046c,"rau muống luộc,cá rán,thịt kho tàu,canh cá nấu chua",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-10.jpg,3.63
17,5d30875a4d1d11b137160465,"đậu rán chấm mắm tôm,gà rang,lạc rang,rau thơm ăn kèm",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-3.jpg,3.58
18,5d30875e4d1d11b137160472,"tôm nõn rim mắm,canh chua,cải thảo luộc,dưa chuột góp,sườn sụn xào",|||||,|||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-16.jpg,3.6
19,5d30875d4d1d11b13716046b,"rau bí luộc,sườn xào dứa,canh bầu nấu ngao,đậu rán",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-9.jpg,3.52
20,5d30875c4d1d11b137160469,"đậu cove xào lòng,thịt gà rang gừng,bí xanh luộc chấm vừng",|||,|||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-7.jpg,3.54
21,5d30875d4d1d11b13716046a,"dưa cải muối chưa,canh mướp lòng gà,thịt ba chỉ kho tàu,lạc rang muối,rau muống luộc",|||||,|||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-8.jpg,3.76
22,5d30875b4d1d11b137160467,"đậu rán giòn,cá rô rán giòn,canh cua cà muối,rau muống luộc,lòng lợn luộc",|||||,|||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-5.jpg,3.96
23,5d30875a4d1d11b137160466,"ốc nấu đậu,đậu sốt cà chua,cá rô rán giòn,rau mồng tơi luộc",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-4.jpg,3.75
24,5d30875d4d1d11b13716046d,"canh cua cà muối,mướp xào thịt lợn,su su luộc,thịt lợn rang",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-12.jpg,3.43
25,5d30875d4d1d11b137160470,"canh xương,bí ngô xào tỏi,thịt lợn luộc,hoa quả tráng miệng",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-14.jpg,3.69
26,5d30875e4d1d11b137160471,"thịt chân giò luộc,canh mướp,canh cá nấu chua,đậu đũa xào lòng",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-15.jpg,3.6
27,5d30875f4d1d11b137160473,"thịt ba chỉ chiên giòn,chanh cá nấu chua,cá rán giòn,rau sống ăn kèm",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-18.jpg,3.59
28,5d30875d4d1d11b13716046f,"cá rán giòn,canh cá chua,đậu đũa xào",|||,|||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh.jpg,3.01
29,5d3087584d1d11b137160463,"canh mướp đắng nhồi thịt,salad rau,thịt ba chỉ luộc,ốc móng tay xào",||||,||||,https://deptuoi30.com/wp-content/uploads/2019/04/thuc-don-bua-com-gia-dinh-1.png,3.28
30,5cbf3c91a29e122e4c79a972,"thịt chân giò luộc,cá rô rán,đậu bắp xào tỏi,rau muống luộc","Mướp: 2 quả. Tôm: 3,5 lạng. Tỏi, ớt. Các loại gia vi cần dùng cho món ăn như sau: đường, nước mắm, dầu ăn, xì dầu, nước cốt chanh|Mướp: 2 quả. Tôm: 3,5 lạng. Tỏi, ớt. Các loại gia vi cần dùng cho món ăn như sau: đường, nước mắm, dầu ăn, xì dầu, nước cốt chanh|Mướp: 2 quả. Tôm: 3,5 lạng. Tỏi, ớt. Các loại gia vi cần dùng cho món ăn như sau: đường, nước mắm, dầu ăn, xì dầu, nước cốt chanh|Mướp: 2 quả. Tôm: 3,5 lạng. Tỏi, ớt. Các loại gia vi cần dùng cho món ăn như sau: đường, nước mắm, dầu ăn, xì dầu, nước cốt chanh|","Trước tiên, tôm sau khi mua về các bạn đem lột vỏ rồi rút chỉ ở sống lưng nhưng chừa lại phần đuôi tôm để món ăn được đẹp mắt nhé, sau đó mang đi rửa sạch.; Mướp đem gọt sạch vỏ rồi rửa sạch, thái thành những đoạn dài tầm 5cm rồi dùng dao nạo bỏ phần ruột bên trong.; Lần lượt cho từng con tôm vào bên trong từng quả mướp sao cho phần đuôi tôm ngửa lên trên để món ăn được đẹp mắt nhé.; Sau khi tiến hành nhồi tôm vào mướp xong các bạn đem cho vào nồi hấp. Thực hiện hấp trong vòng 10 phút đến khi tôm chín chuyển thành màu đỏ tươi đẹp là đạt yêu cầu, cho ra được.; Chúng ta sẽ pha nước chấm để ăn kèm với món ăn theo công thức sau: cho vào một bát con 1 thìa dầu ăn, 1 thìa con đường, 1 thìa con xì dầu, 4 thìa nước mắm ngon, ít tỏi ớt băm. Khuấy dều hỗn hợp này lên cho đồng nhất rồi rưới đều lên món ăn. Có thể trang trí bằng vài cọng rau ngò hay ớt thái khoanh cũng rất đẹp đấy nhé.|Trước tiên, tôm sau khi mua về các bạn đem lột vỏ rồi rút chỉ ở sống lưng nhưng chừa lại phần đuôi tôm để món ăn được đẹp mắt nhé, sau đó mang đi rửa sạch.; Mướp đem gọt sạch vỏ rồi rửa sạch, thái thành những đoạn dài tầm 5cm rồi dùng dao nạo bỏ phần ruột bên trong.; Lần lượt cho từng con tôm vào bên trong từng quả mướp sao cho phần đuôi tôm ngửa lên trên để món ăn được đẹp mắt nhé.; Sau khi tiến hành nhồi tôm vào mướp xong các bạn đem cho vào nồi hấp. Thực hiện hấp trong vòng 10 phút đến khi tôm chín chuyển thành màu đỏ tươi đẹp là đạt yêu cầu, cho ra được.; Chúng ta sẽ pha nước chấm để ăn kèm với món ăn theo công thức sau: cho vào một bát con 1 thìa dầu ăn, 1 thìa con đường, 1 thìa con xì dầu, 4 thìa nước mắm ngon, ít tỏi ớt băm. Khuấy dều hỗn hợp này lên cho đồng nhất rồi rưới đều lên món ăn. Có thể trang trí bằng vài cọng rau ngò hay ớt thái khoanh cũng rất đẹp đấy nhé.|Trước tiên, tôm sau khi mua về các bạn đem lột vỏ rồi rút chỉ ở sống lưng nhưng chừa lại phần đuôi tôm để món ăn được đẹp mắt nhé, sau đó mang đi rửa sạch.; Mướp đem gọt sạch vỏ rồi rửa sạch, thái thành những đoạn dài tầm 5cm rồi dùng dao nạo bỏ phần ruột bên trong.; Lần lượt cho từng con tôm vào bên trong từng quả mướp sao cho phần đuôi tôm ngửa lên trên để món ăn được đẹp mắt nhé.; Sau khi tiến hành nhồi tôm vào mướp xong các bạn đem cho vào nồi hấp. Thực hiện hấp trong vòng 10 phút đến khi tôm chín chuyển thành màu đỏ tươi đẹp là đạt yêu cầu, cho ra được.; Chúng ta sẽ pha nước chấm để ăn kèm với món ăn theo công thức sau: cho vào một bát con 1 thìa dầu ăn, 1 thìa con đường, 1 thìa con xì dầu, 4 thìa nước mắm ngon, ít tỏi ớt băm. Khuấy dều hỗn hợp này lên cho đồng nhất rồi rưới đều lên món ăn. Có thể trang trí bằng vài cọng rau ngò hay ớt thái khoanh cũng rất đẹp đấy nhé.|Trước tiên, tôm sau khi mua về các bạn đem lột vỏ rồi rút chỉ ở sống lưng nhưng chừa lại phần đuôi tôm để món ăn được đẹp mắt nhé, sau đó mang đi rửa sạch.; Mướp đem gọt sạch vỏ rồi rửa sạch, thái thành những đoạn dài tầm 5cm rồi dùng dao nạo bỏ phần ruột bên trong.; Lần lượt cho từng con tôm vào bên trong từng quả mướp sao cho phần đuôi tôm ngửa lên trên để món ăn được đẹp mắt nhé.; Sau khi tiến hành nhồi tôm vào mướp xong các bạn đem cho vào nồi hấp. Thực hiện hấp trong vòng 10 phút đến khi tôm chín chuyển thành màu đỏ tươi đẹp là đạt yêu cầu, cho ra được.; Chúng ta sẽ pha nước chấm để ăn kèm với món ăn theo công thức sau: cho vào một bát con 1 thìa dầu ăn, 1 thìa con đường, 1 thìa con xì dầu, 4 thìa nước mắm ngon, ít tỏi ớt băm. Khuấy dều hỗn hợp này lên cho đồng nhất rồi rưới đều lên món ăn. Có thể trang trí bằng vài cọng rau ngò hay ớt thái khoanh cũng rất đẹp đấy nhé.|",http://elinerfood.com/wp-content/uploads/2016/05/mam-com-6-365-mam-com-gia-dinh.jpg,3.46
