user_id,recipe_name,user_gender,user_age,user_hobbies,user_health,top1_meals,top2_meals,top3_meals,top4_meals,top5_meals
0,rau dền nấu tôm,0,người lớn,,bệnh tiểu đường,580,,,,
0,cà tím nhồi thịt nướng,0,người lớn,,bệnh tiểu đường,975,,,,
1,canh bí đỏ hầm giò heo,0,người già,,bệnh dạ dày,277,,,,
1,canh cải chua nấu bắp bò,0,người già,,bệnh dạ dày,679,,,,
2,mắm tép,0,người lớn,,bệnh tiểu đường,78,135,138,,
2,canh giò heo nấu củ,0,người lớn,,bệnh tiểu đường,760,,,,
3,"cá trê chiên giòn, nước mắm gừng",1,người lớn,,bệnh dạ dày,634,,,,
3,đậu phụ,1,người lớn,,bệnh dạ dày,30,34,51,53,62
4,cánh vịt nấu tương,1,người già,,bệnh dạ dày,697,,,,
4,canh củ dền tôm thịt,1,người già,,bệnh dạ dày,361,,,,
5,mận hà nội ngâm nước đường,1,người già,,bệnh tiểu đường,611,653,,,
5,canh nấm thịt xay,1,người già,,bệnh tiểu đường,671,,,,
6,nộm xoài xanh,0,trẻ em,,,60,,,,
6,mì xào bò,0,trẻ em,,,384,930,879,,
7,cà pháo,0,trẻ em,,,7,62,75,76,91
7,salad rau,0,trẻ em,,,13,247,388,428,934
8,canh cải nấu thịt băm,1,trẻ em,,,98,116,,,
8,su su luộc,1,trẻ em,,,23,72,147,899,965
9,đầu cá chép nấu riêu thì là,0,người lớn,,bệnh tim mạch,902,,,,
9,thịt xông khói,0,người lớn,,bệnh tim mạch,68,176,302,428,575
10,ngan kho gừng,0,trẻ em,,,217,,,,
10,sinh tố mãng cầu,0,trẻ em,,,326,449,504,533,547
11,giá hẹ xào thịt bò,0,trẻ em,,,496,,,,
11,khổ qua nhồi thịt,0,trẻ em,,,382,584,928,,
12,bánh hỏi thịt nướng,0,người lớn,,bệnh huyết áp cao,168,441,,,
12,sinh tố cà chua,0,người lớn,,bệnh huyết áp cao,176,221,226,237,302
13,thịt bò kho,1,người già,,bệnh huyết áp cao,559,,,,
13,ngồng cảo xào tỏi,1,người già,,bệnh huyết áp cao,49,,,,
14,thịt viên sốt nấm,1,người lớn,,bệnh tim mạch,980,,,,
14,cá trứng rim tiêu,1,người lớn,,bệnh tim mạch,965,966,,,
15,sữa bắp,1,trẻ em,,,420,684,867,,
15,dưa chuột chẻ,1,trẻ em,,,31,36,65,78,84
16,canh cá thu nấu ngót,1,người già,,bệnh tiểu đường,245,791,907,938,
16,cải thìa xào nấm,1,người già,,bệnh tiểu đường,308,931,,,
17,bí đỏ xào tỏi,0,người lớn,,bệnh huyết áp cao,973,979,,,
17,canh thịt bò rau răm,0,người lớn,,bệnh huyết áp cao,275,433,,,
18,bí đao om mỡ hành,0,trẻ em,,,200,,,,
18,ức gà xào nấm,0,trẻ em,,,410,956,,,
19,khoai mỡ nấu tôm,1,trẻ em,,,329,368,442,527,757
19,lươn cuốn lá cách chiên,1,trẻ em,,,637,,,,
20,bạch tuộc sa tế,1,người lớn,,bệnh dạ dày,120,,,,
20,tôm rim ba rọi,1,người lớn,,bệnh dạ dày,590,716,,,
21,,1,trẻ em,,,0,1,3,6,7
21,sandwich tươi nhân thịt gà,1,trẻ em,,,558,,,,
22,sườn nướng sốt bbq,1,người lớn,,bệnh tiểu đường,967,,,,
22,dưa tây ướp lạnh,1,người lớn,,bệnh tiểu đường,457,,,,
23,sinh tố saboche,0,người lớn,,bệnh tiểu đường,597,,,,
23,hoa thiên lý trộn bò,0,người lớn,,bệnh tiểu đường,227,815,,,
24,chè hạt sen táo tàu,0,người già,,bệnh dạ dày,527,562,868,884,
24,giá hẹ ngâm chua,0,người già,,bệnh dạ dày,740,,,,
25,canh chua cá lăng,1,trẻ em,,,461,776,,,
25,bún bò huế,1,trẻ em,,,273,450,546,,
26,sườn nướng sốt bbq,0,người lớn,,bệnh huyết áp cao,967,,,,
26,nước ép dứa,0,người lớn,,bệnh huyết áp cao,639,,,,
27,tôm chiên sả ớt,1,trẻ em,,,65,,,,
27,sườn rán,1,trẻ em,,,73,,,,
28,cháo cá lóc,0,trẻ em,,,402,474,705,948,
28,nước trà lipton,0,trẻ em,,,720,,,,
29,cá điêu hồng hấp tàu xì,0,người già,,bệnh huyết áp cao,706,,,,
29,dưa xào cà chua,0,người già,,bệnh huyết áp cao,67,,,,
30,cá diếc chiên ròn,1,người già,,bệnh dạ dày,85,128,,,
30,cà chua ép,1,người già,,bệnh dạ dày,786,,,,
31,tôm hấp sả,1,người lớn,,phụ nữ mang thai,47,,,,
31,sinh tố sa bô chê,1,người lớn,,phụ nữ mang thai,628,838,,,
32,dọc mùng xào sả,1,trẻ em,,,265,,,,
32,sinh tố mít,1,trẻ em,,,454,521,534,595,634
33,canh cá lóc nấu bầu,1,người già,,,256,802,,,
33,cá rô đồng kho tộ,1,người già,,,664,,,,
34,phèo non xào cải chua,1,người lớn,,phụ nữ mang thai,890,,,,
34,cá thác lác chiên xù,1,người lớn,,phụ nữ mang thai,877,,,,
35,phở nghêu sa tế,0,người già,,,831,,,,
35,bò nướng kiệu,0,người già,,,280,,,,
36,gỏimắm,0,người lớn,,,,,,,
36,sinh tố dừa,0,người lớn,,,346,378,683,924,
37,dưa giá,0,người lớn,,,78,766,838,,
37,canh trứng bí ngòi,0,người lớn,,,667,,,,
38,đậu bắp luộc,1,người lớn,,phụ nữ mang thai,77,153,404,481,560
38,mãng cầu ta ướp lạnh,1,người lớn,,phụ nữ mang thai,727,,,,
39,bông bí xào ức gà,0,người lớn,,,188,,,,
39,canh cá thác lác cải thìa,0,người lớn,,,377,923,,,
40,canh rau muống nấu hến,1,người già,,,251,944,,,
40,sinh tố cà chua,1,người già,,,176,221,226,237,302
41,tàu hũ đá,1,người lớn,,phụ nữ mang thai,404,950,,,
41,cá ngừ kho thơm,1,người lớn,,phụ nữ mang thai,565,,,,
42,canh chua cá thác lác,0,người lớn,,,401,452,487,947,
42,canh cải thảo nấu thịt băm,0,người lớn,,,274,,,,
43,cá thu nhật nấu ngót,0,người lớn,,,,,,,
43,canh măng nấu móng giò,0,người lớn,,,55,,,,
44,cà dầm nước mắm,1,người lớn,,phụ nữ mang thai,47,83,,,
44,canh rau cải nấu thịt,1,người lớn,,phụ nữ mang thai,58,63,,,
45,nước ép táo,1,trẻ em,,,181,210,222,242,337
45,cá lóc hấp bầu,1,trẻ em,,,445,505,,,
46,canh cải xoong nấu bò,0,người già,,,628,,,,
46,mắm tép,0,người già,,,78,135,138,,
47,canh cá khoai cải bẹ xanh,1,người già,,,586,,,,
47,cá thu chiên xốt cà,1,người già,,,311,626,836,,
48,bánh su jambon,0,người lớn,,,874,,,,
48,súp lơ xào,0,người lớn,,,967,968,975,980,
49,dưa món,0,người già,gà|xôi|cháo,,229,817,,,
49,măng xào tôm,0,người già,gà|xôi|cháo,,440,482,641,755,
50,canh giò sống nấu ngót,1,trẻ em,mì|bún|quả,,379,925,,,
