item_id,actual_id,title,category,recipes
0,5cbf3ccba29e122e4c79a97b,Mâm 15,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt ba chỉ rang cháy cạnh', 'cà tím xào', 'canh khoai sọ nấu thịt gà', 'đậu phụ luộc']"
1,5cbf3cbfa29e122e4c79a979,Mâm 13,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Sườn xào chua ngọt', 'măng xào', 'canh bí nấu thịt gà', 'dưa chuột chẻ']"
2,5cbf3c91a29e122e4c79a971,Mâm 5,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Đậu sốt cà chua', 'mực trứng chiên giòn', 'rau muống luộc', 'tôm hấp mướp']"
3,5cbf3ccba29e122e4c79a97d,Mâm 17,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá rô phi chiên ròn', 'thịt bò hấp xả', 'rau muống xào tỏi', 'bí xanh luộc']"
4,5cbf3c89a29e122e4c79a970,Mâm 4,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Bò xào cần tỏi', 'cá om chua', 'đỗ luộc', 'đậu phụ luộc']"
5,5cbf3ca2a29e122e4c79a975,Mâm 9,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá hồi kho tiêu', 'cà tím tẩm bột chiên', 'măng tây xào bơ tỏi', 'rau muống luộc']"
6,5cbf3cc7a29e122e4c79a97a,Mâm 14,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Mực chiên xù', 'ốc om chuối đậu', 'canh ngao chua', 'dưa chuột chẻ']"
7,5cbf3cd3a29e122e4c79a97e,Mâm 18,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt lợn xào sả ớt', 'canh dưa thịt bò', 'rau bắp cải luộc', 'nước mắm dầm trứng']"
8,5cbf3c91a29e122e4c79a972,Mâm 6,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Thịt chân giò luộc', 'cá rô rán', 'đậu bắp xào tỏi', 'rau muống luộc']"
9,5cbf3caea29e122e4c79a977,Mâm 11,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Cá rô chiên', 'đậu sốt cà chua', 'rau muống luộc', 'canh rau chua']"
10,5cbf3cd3a29e122e4c79a97f,Mâm 19,365 Mâm cơm gia đình hết sức đơn giản mà lại ngon miệng giá 50k,"['Gà hấp lá chanh', 'canh khoai sọ nấu xương', 'rau muống luộc', 'nước mắm tỏi ớt']"
