mon_01,mon_02,mon_03,mon_04,mon_05,mon_06
thịt xiên nướng,đậu hũ chiên giòn,rau bí xào tỏi,,,
canh sườn nấu chua,đậu hũ sốt cà,rau muống luộc ăn kèm cà pháo,"tép khô xào hành, khế",,
,,,,,
,,,,,
gà xào sả ớt,thịt bò xào cải xanh,canh chua tôm,,,
thịt vịt/gà quay,canh chua,trứng chiên,dưa chuột trộn.,,
cá thu chiên mắm ngọt,mực xào bầu,canh tập tàng nấu tôm,,,
thịt gà luộc chấm mắm,rau muống luộc,rau bí xào tỏi,,,
mực xào chua ngọt,sườn non ram mặn,canh khổ qua nấu với thịt viên,,,
,,,,,
đậu hũ chiên trứng,rau củ luộc chấm kho quẹt,canh chua nấu tôm,,,
,,,,,
canh bí nhồi thịt,cá om dưa cải,khổ qua xào trứng,,,
cá kho tộ,đậu đũa luộc,chả cá sốt cà chua,cà muối,,
thịt ba chỉ luộc,đậu rim mắm,canh rau ngót nấu thịt,lòng gà xào nấm,cà muối,
canh ngao,dưa cải muối chua,sườn xào chua ngọt,thịt xào ngồng tỏi,hoa quả tráng miệng,
rau muống luộc,cá rán,thịt kho tàu,canh cá nấu chua,,
đậu rán chấm mắm tôm,gà rang,lạc rang,rau thơm ăn kèm,,
tôm nõn rim mắm,canh chua,cải thảo luộc,dưa chuột góp,sườn sụn xào,
rau bí luộc,sườn xào dứa,canh bầu nấu ngao,đậu rán,,
đậu cove xào lòng,thịt gà rang gừng,bí xanh luộc chấm vừng,,,
dưa cải muối chưa,canh mướp lòng gà,thịt ba chỉ kho tàu,lạc rang muối,rau muống luộc,
đậu rán giòn,cá rô rán giòn,canh cua cà muối,rau muống luộc,lòng lợn luộc,
ốc nấu đậu,đậu sốt cà chua,cá rô rán giòn,rau mồng tơi luộc,,
canh cua cà muối,mướp xào thịt lợn,su su luộc,thịt lợn rang,,
canh xương,bí ngô xào tỏi,thịt lợn luộc,hoa quả tráng miệng,,
thịt chân giò luộc,canh mướp,canh cá nấu chua,đậu đũa xào lòng,,
thịt ba chỉ chiên giòn,chanh cá nấu chua,cá rán giòn,rau sống ăn kèm,,
cá rán giòn,canh cá chua,đậu đũa xào,,,
canh mướp đắng nhồi thịt,salad rau,thịt ba chỉ luộc,ốc móng tay xào,,
thịt chân giò luộc,cá rô rán,đậu bắp xào tỏi,rau muống luộc,,
hoa thiên lý xào thịt bò,cá rô chiên xù,dưa xào,đỗ luộc,,
tôm hấp sả,rau muống xào tỏi,canh rau mồng tơi nấu ngao,cà dầm nước mắm,,
thịt ba chỉ rang cháy cạnh,cà tím xào,canh khoai sọ nấu thịt gà,đậu phụ luộc,,
sườn xào chua ngọt,măng xào,canh bí nấu thịt gà,dưa chuột chẻ,,
gà hấp lá chanh,canh khoai sọ nấu xương,rau muống luộc,nước mắm tỏi ớt,,
cá hồi kho tiêu,cà tím tẩm bột chiên,măng tây xào bơ tỏi,rau muống luộc,,
thịt lợn xào sả ớt,canh dưa thịt bò,rau bắp cải luộc,nước mắm dầm trứng,,
bò xào đậu,rau muống xào tỏi,ngao hấp sả,bí xanh luộc,,
tôm rang,rau muống luộc,ngao hấp,nước mắm tỏi ớt.,,
đậu sốt cà chua,mực trứng chiên giòn,rau muống luộc,tôm hấp mướp,,
cá rô chiên,đậu sốt cà chua,rau muống luộc,canh rau chua,,
tôm chiên xù,bắp cải luộc,lạc rang,canh hoa thiên lý nấu cua,,
bò xào lúc lắc,trứng cút xào chua ngọt,canh bí nấu tôm,rau củ quả luộc,,
bò xào cần tỏi,cá om chua,đỗ luộc,đậu phụ luộc,,
mực nhồi thịt chiên,thịt lợn kho tàu,canh ngao chua,rau muống luộc,,
mực chiên xù,ốc om chuối đậu,canh ngao chua,dưa chuột chẻ,,
cá rô phi chiên ròn,thịt bò hấp xả,rau muống xào tỏi,bí xanh luộc,,
tôm chiên tỏi ớt,bò xào thập cẩm,canh khoai sọ hầm xương,rau củ quả luộc chấm muối vừng,,
thịt lợn rang sả ớt,canh măng chua,canh bầu nấu tôm,,,
đỗ xào thịt bò,thịt chân giò luộc,canh rau đay mướp,canh dưa chua,,
thịt áp chảo,ngồng cảo xào tỏi,đậu non sốt chanh leo,canh ngao nấm kim cải thảo,,
cá kho,hoa thiên lý xào thịt bò,khoai tây chiên,canh cải thảo giá đỗ,,
vịt om sấu,đậu phụ luộc,rau muống xào tỏi,canh rau muống cà chua,,
sườn xào chua ngọt,tai heo luộc,nộm xoài xanh,canh rau ngót thịt băm,,
gà xiên que,rau cải xào thịt bò,canh bí nấu xương,đậu phụ,cà pháo,
cá hấp xì dầu,bí đao cuộn thịt,rau muống luộc,nước rau muống chua,,
cánh gà chiên bơ,thịt xông khói,bắp cải luộc,canh bầu nấu tôm,,
tôm chiên sả ớt,canh dưa thịt bò,rau muống luộc,dưa chuột chẻ,,
chả tôm cuốn sả,đậu phụ sốt cà chua,rau muống luộc,,,
sườn sốt cam,mướp hương xào nấm,trứng ốp lết,canh bí nấu xương,,
ốc om chuối đậu,thịt ba chỉ rang cháy cạnh,rau cải chíp luộc,,,
đậu phụ rán,tôm cuốn khoai tây chiên giòn,dưa xào cà chua,rau muống luộc,,
bò xào thập cẩm,thịt kho trứng cút,rau muống luộc,canh rau muống chua,,
cá kho thịt,canh rau cải nấu thịt băm,rau muống luộc,nước rau muống chua,,
ba rọi heo cuốn rau củ,trứng tráng cuộn,canh măng nấu móng giò,rau muống xào,,
bê xào xả ớt,tôm chiên xả,rau củ quả luộc,canh khoai sọ hầm xương,,
cá chép xào dưa,trứng chiên cuộn,rau muống luộc,bí xanh luộc,,
chả đậu,gà om xì dầu,canh mướp nấu thịt,súp lơ luộc,,
mướp xào tim lợn,lưỡi lợn xào thập cẩm,canh cải thảo thịt bò,đậu phụ sống,,
mực trứng hấp xả,đậu phụ rán,hoa bí xào tỏi,canh rau cải nấu thịt,,
cá nục kho,mực chiên giòn,chả rán,canh mồng tơi nấu tôm,,
chả cá sốt cà chua,tôm rang,canh dưa cà chua,rau muống luộc,cà pháo,
thịt luộc,mắm tép,canh rau ngót,dưa chuột chẻ,dưa giá,
thịt gà rang gừng,thịt kho tàu,canh mồng tơi nấu cua,cà pháo,,
cá diêu hồng chiên giòn,cải thảo xào,thịt kho tàu trứng cút,canh cá nấu chua,,
trứng hấp vân,đậu chiên sả ớt,đỗ luộc,,,
gà xào chua ngọt,chả quế,rau muống luộc,nộm hoa chuối,,
lòng xào dưa chua,trứng cút rán sốt cà chua,canh cải thảo cuốn thịt,đậu bắp luộc,,
sườn nướng mật ong,thịt viên sốt cà chua,canh cải ngọt nấu thịt,su su luộc,,
thịt bò xào rau củ,thịt chân giò muối,cá trứng rim mắm ớt,dưa chua củ cải,canh bầu nấu tôm,
sườn rán,khoai tây xào cà chua,chả sả,canh rau muống nấu ngao,,
mực trứng hấp,sườn sụn sốt chua ngọt,canh khoai sọ rau rút,cà pháo,,
thịt ba chỉ rang cháy cạnh,mực xào dứa,canh ngao nấu dứa,dưa chuột chẻ,,
cánh gà xào chua ngọt,trứng cút chiên xù,canh bí đỏ nấu sườn,dưa chua,,
thịt kho trứng,nem rán,mướp đắng nhồi thịt,nộm đu đủ,,
mướp đắng nhồi thịt,đậu trắng sốt cà chua,canh đậu hũ,dưa bắp cải,,
cá trôi chiên ròn,thịt đông,canh dưa thịt bò,cà dầm nước mắm,,
trứng tráng,đậu phụ tứ xuyên,nộm sứa,canh cải ngọt nấu ngao,,
tôm rang thịt,lạc rang,canh cua rau đay,cà pháo,,
trứng tráng,cá rô phi chiên giòn,canh cua rau đay,cà muối sổi,,
cá chim rán,canh rau ngót thịt băm,cà muối sổi,dưa muối,,
chả lá lốt,cua đồng rang muối,rau muống luộc,canh rau chua,,
cá cơm chiên ròn,thịt quay giòn bì,rau muống xào tỏi,canh mướp đắng nhồi thịt,,
mực xào dứa,cá thu sốt cà chua,đỗ luộc,canh đậu hũ cà chua,,
cá om dưa,lòng luộc,rau sống,canh cải nấu thịt băm,,
chả cá rán,đậu tẩm hành,rau muống xào tỏi,canh rau chua,,
cá chạch rán giòn,chả lá lốt,đậu phụ sống,canh bí đỏ,,
nộm gà xé phay,cá rô chiên giòn,canh rau cải ngọt,dưa muối,,
sườn xào chua ngọt,cá diếc chiên ròn,rau lang xào tỏi,canh cải nấu tôm,,
ốc xào cay,cua đồng rang muối,rau muống xào tỏi,canh cua rau đay,,
cá rán giòn,tôm sốt cà chua,rau muống xào tỏi,canh rau chua,,
gà nướng mật ong,dưa xào thịt bò,đậu phụ luộc,canh ngao nấm kim châm,,
cá tẩm bột chiên,canh đầu cá nấu chua,salad cà chua dưa chuột,rau sống,,
nem rán,lươn sốt cay,canh bóng,rau củ quả luộc,,
